ena\area1_055_001.wav|ここが素材にも見映えにもこだわってるっていうパンケーキの店ね
ena\areatalk_2_151_004.wav|奏……
ena\areatalk_2_151_005.wav|想いに触れながら、か。私もちょっとこっちで絵、描いてみようかな
ena\areatalk_2_152_002.wav|え？　今日の肌の調子とか、合わせる服のコーディネートとか、かな
ena\areatalk_2_152_003.wav|それがどうかしたの？
ena\areatalk_2_153_001.wav|あ……まふゆ。今、作業中？
ena\areatalk_2_153_003.wav|こっちも、ちょっと息抜きに……
ena\areatalk_2_153_004.wav|ここさ……雰囲気暗いし、ちょっと不気味だけど、でも、なんか来ちゃうんだよね
ena\areatalk_2_154_001.wav|あ、まふゆ。今、帰るところ？　結構遅いんだね
ena\areatalk_2_154_003.wav|そういえば、瑞希からそんな話聞いたかも。なんで弓道部に入ったの？
ena\areatalk_2_154_005.wav|部活って、そんな感じで決めるものだっけ……
ena\areatalk_2_155_001.wav|ねえ、ちょっと相談があるんだけど……
ena\areatalk_2_155_003.wav|うん……昨日行ったパンケーキのお店、照明が暗くてさ。肝心のパンケーキが美味しそうに映らなくて……
ena\areatalk_2_155_004.wav|ねえ、画像いい感じに加工できない？明るさいじるだけじゃうまくいかなくって
ena\areatalk_2_156_002.wav|別にいいけど、バイトなんてしてたんだ？
ena\areatalk_2_156_004.wav|ふーん。好きな物を仕事にしてる、みたいな？
ena\areatalk_2_156_006.wav|彰人がそういう理由でバイト選んでたから、なんとなくね
ena\areatalk_2_156_007.wav|好きな物を仕事に、か。いいな……ちょっとだけだけど
ena\areatalk_2_157_001.wav|ねえ、入り浸ってるライブカフェがあるでしょ。そこ、内装はどんな感じ？　おしゃれ？
ena\areatalk_2_157_003.wav|は？　私は美味しいチーズケーキのお店とか、パンケーキのお店とか教えてるのに
ena\areatalk_2_162_002.wav|別にいいでしょ。たまにこうやってアナログに戻りたくなる時があるの
ena\areatalk_2_162_004.wav|イ・ヤ。何を描いてても私の勝手でしょ。気が散るから、向こう行っててよ
ena\areatalk_2_162_006.wav|あっそ。じゃあ私、部屋戻るから
ena\areatalk_2_163_001.wav|こないだオススメしてくれたパンケーキ屋さん、行ってきたよ
ena\areatalk_2_163_003.wav|……映えはしたけど、量、ホントにやばかった。２人で行かなかったら、ムリだったかも
ena\areatalk_2_163_005.wav|は？　 あれを勧めたのって、映えじゃなくて、そっちが目的！？
ena\areatalk_2_182_001.wav|わっ、今日風強い……。こういう日は家から出たくないよね
ena\areatalk_2_182_003.wav|だって、せっかくセットした髪が崩れたら嫌だもん
ena\areatalk_2_264_001.wav|はぁ……最近、寝ても頭がすっきりしないな。奏はそういうことない？
ena\areatalk_2_264_003.wav|ホント？　奏も結構、睡眠時間短そうなのに……。ねえ、平均でどれくらい寝てる？
ena\areatalk_2_264_005.wav|そ、そうなんだ……
ena\areatalk_2_264_006.wav|奏の場合、寝起きうんぬんより、床で寝て風邪をひかないかのほうが心配かも
ena\areatalk_2_265_002.wav|そうだね。一応、スマホとかは持ってこられるみたいだし、パソコンも持って来れば……
ena\areatalk_2_265_004.wav|そうまでして、ここで作業したいんだ……
ena\areatalk_2_269_001.wav|ふーん、お母さんへの誕生日プレゼントね
ena\areatalk_2_269_004.wav|母親の誕生日プレゼント？別に用意したことないし、考えたこともないかも
ena\areatalk_2_269_006.wav|さあね。あ……瑞希はもしかしたらちゃんと祝ってるかも。今度聞いてみたら？
ena\areatalk_2_270_001.wav|ここって、まっさらなキャンバスみたいだね
ena\areatalk_2_270_003.wav|何をって……。今思い浮かんだのは、花、かな。一輪だけ、あのあたりに……
ena\areatalk_2_270_005.wav|別にあんただって考えて探せばいいでしょ。……ひとりじゃ見つけられないなら、手伝ってもいいし
ena\areatalk_2_270_007.wav|はいはい。あんたみたいな面倒くさいヤツ相手なんだから、仕方ないでしょ
ena\areatalk_2_273_002.wav|うん。そろそろ……
ena\areatalk_2_273_003.wav|奏は通信制高校だから、行かなくていいんだっけ？私もそうすればよかったな
ena\areatalk_2_273_006.wav|そこまで自分のペースでいいって言われると、結局卒業できずに終わっちゃうかも……
ena\areatalk_2_274_001.wav|ここ、朝も夜もずっとこんな感じなんだね。時間の感覚、狂っちゃいそう
ena\areatalk_2_274_004.wav|もしそうなったら、まふゆ以上に奏がここに引きこもっちゃいそうだね
ena\areatalk_2_275_002.wav|してる人もいるんじゃない？　うちの学校だと、全日制の人が部活動してる時間に一緒にやるみたい
ena\areatalk_2_275_004.wav|しない。面倒だし。逆に聞くけど、まふゆはなんで部活やってるわけ？
ena\areatalk_2_275_006.wav|あ……そゆこと……
ena\areatalk_2_276_002.wav|え？ もう会ってるじゃん
ena\areatalk_2_276_004.wav|あ、それ日本初出店っていうアパレルブランドの？
ena\areatalk_2_276_006.wav|ふーん。まあ、興味ないわけじゃないし。一緒に行ってもいいかな
ena\areatalk_2_277_001.wav|久しぶり！今日は誘ってくれてありがと！
ena\areatalk_2_277_003.wav|うん。その子の写真、撮ってきてくれた？
ena\areatalk_2_277_005.wav|それなら、美味しいパンケーキのお店があるから、そこに行こっか！
ena\areatalk_2_318_001.wav|ミク、センスいいよね。特に足元とか
ena\areatalk_2_318_002.wav|だって、片方素足じゃない。結構思い切ったファッションだよ、それ
ena\areatalk_2_318_003.wav|……え、違うの？まさか、なくしちゃったとか？
ena\areatalk_2_318_004.wav|そう……。まあ、なくしちゃったわけじゃないからいっか……
ena\areatalk_2_385_001.wav|ふぁ……眠いし、気圧のせいで頭痛いし、学校行きたくない
ena\areatalk_2_385_002.wav|ミク、頭痛がおさまるまでちょっと休ませて……
ena\areatalk_2_385_004.wav|あ、う、うん……ありがと
ena\areatalk_2_385_005.wav|う……入り浸る気満々で来ちゃったから、なんかものすごく悪いことをしてる気分……
ena\areatalk_2_385_006.wav|はぁ……頭痛が治ったら、ちゃんと学校行こう……
ena\areatalk_2_398_001.wav|はぁ……太陽、まぶしい
ena\areatalk_2_398_003.wav|マネとかじゃなくて、本当にまぶしいの
ena\areatalk_2_398_004.wav|っていうか午前中に外出るとか、久しぶりなんですけど……。太陽ってこんなにまぶしかったっけ、紫外線やばくない？
ena\areatalk_2_398_006.wav|はいはい。はぁ……奏じゃないけど、地下道とか歩きたいかも
ena\areatalk_2_399_001.wav|瑞希、なんかいいコンシーラー知らない？
ena\areatalk_2_399_003.wav|目の下のクマとかを隠せて、乾燥も防いで、テクスチャー緩めで、あと仕上がりも明るく軽めで……
ena\areatalk_2_399_005.wav|言えって言ったのはそっちでしょ。ほら、早く出してよ候補
ena\areatalk_2_402_001.wav|……これじゃない。人写ってなくて、モノクロ写真みたいな暗めのテイストだった
ena\areatalk_2_402_003.wav|だから、モノクロ写真みたいだったって言ってるでしょ。真面目に探す気あるの？
ena\areatalk_2_402_005.wav|仕方ないでしょ。夜中にテレビで見かけただけなんだから！
ena\areatalk_2_402_006.wav|ほら、早く次の持ってきてよ
ena\area3_241_001.wav|奏は通信制高校なんだよね。ああいうのって、一回も学校に登校しなくていいの？
ena\area3_241_007.wav|じゃあ、本当に用事がある時以外は家にいるんだ。うーん。羨ましいような、逆に窮屈なような……
ena\area3_242_002.wav|あ、奏！
ena\area3_242_005.wav|あー、今日すごくいい天気だもんね
ena\area3_244_001.wav|ふぁぁ……ねむ……
ena\area3_244_005.wav|びっくりしてる人もいたみたいだけど、受け入れてくれるコメント多くてよかったよね
ena\area3_244_009.wav|じゃあ、いつも通りファミレスだね。瑞希が待ちくたびれてるかも
ena\area3_245_002.wav|あのね……私も奏も、ロボットアニメなんて見てるわけないでしょ
ena\area3_245_004.wav|え……！　うそ……！
ena\area3_245_009.wav|なんていうか……さすが奏、だね
ena\area3_247_003.wav|散歩って、こんななにもないところを？
ena\area3_248_002.wav|さあ……気になるなら端っこ探してみれば？
ena\area3_248_006.wav|えっ、なにそれ怖い……！
ena\area3_248_008.wav|何それ
ena\area3_251_002.wav|ミク、さっきから地面ばっかり見てどうしたの？
ena\area3_251_004.wav|線……ああ、模様みたいに見える、これ？
ena\area3_251_006.wav|んー、やろうと思えば……。でも、全体を俯瞰して見ないとどういうバランスになってるのかわからないからなぁ
ena\area3_251_009.wav|えっと……奏、たぶん、それ違うよ
ena\area3_254_002.wav|あ……名前、覚えてくれたんだ
ena\area3_254_005.wav|なんだろ……ただ、名前を呼んでもらっただけなのに、どうしてちょっと嬉しいんだろう
ena\area3_256_001.wav|はぁ、信号まだかな……
ena\area3_256_003.wav|ホント？　じゃあ、ちょっと数えてみようかな。えっと、時計はっと……
ena\area3_256_006.wav|……44、45。わっ、本当に45秒で青になった！
ena\area3_258_004.wav|私は筆圧ペン買った帰りにたまたま会っただけ。なのに、一緒に行こうってうるさくって
ena\area3_258_006.wav|あー、なんだったっけ？最近、名前を聞くようになったアーティストだったと思うけど
ena\area3_259_001.wav|今日、聴きに行くのってゲーム音楽のコンサートだっけ？
ena\area3_259_007.wav|へえ、じゃあもしかして自分でもプレイしてみるの？
ena\area3_260_001.wav|そういえば、まふゆの親って私達と会ってること知ってるの？
ena\area3_260_004.wav|うわ。じゃあ余計に、ネットで知り合った子とリアルでも会ってるなんて知られたらヤバそう
ena\area3_260_007.wav|言うわけないでしょ。言う必要もないし
ena\area3_260_008.wav|でも、うちの親は知ったところで何も言ってこないと思うけど
ena\area3_262_001.wav|ねえ、ふたりはどうやって自分のハンドルネーム決めたの？
ena\area3_262_005.wav|う、うん。親しみやすさを込めてね
ena\area3_262_006.wav|言えない……結構真面目に悩んで、いろいろ迷走した挙句、結局名前に戻ってきたなんて
ena\area3_263_001.wav|まふゆ、今度の曲の歌詞どう？
ena\area3_263_004.wav|……うっわ。相変わらずえぐってくる歌詞……
ena\area3_263_006.wav|別にそういうわけじゃないから。はい、返す
ena\area3_263_007.wav|今回、私もイラスト自信あるんだから、負けないように、しっかり書いてよね
ena\area3_263_009.wav|はぁ？　……勝手に言ってれば。じゃあ、私、作業戻るから！
ena\area3_266_001.wav|ねえ、ここにいる時、まふゆとミクってどんな話するの？
ena\area3_266_004.wav|そ、そう？
ena\area3_266_005.wav|……間が持たないっ！
ena\area3_269_002.wav|はいはい。ほら、配色カード
ena\area3_269_005.wav|……ミクに見せてあげるためだったんだ。最初からそう言ってくれれば、もっといろいろ持ってきてあげたのに
ena\area3_269_007.wav|は？　もう一回言ってみなさいよ
ena\area3_269_009.wav|本当にもう一回言わなくていいから！
ena\area3_271_001.wav|あ、見て！　このぬいぐるみ可愛い！買っちゃおうかな
ena\area3_271_004.wav|あ、それ。弟経由でもらったヤツかも
ena\area3_271_005.wav|弟の友達にゲーセン好きがいるみたいで、たまにだけど、戦利品が回ってくるんだよね
ena\area3_271_006.wav|まっ、私の好みじゃない時もあるけど、映えるし、使わない手はないよね
ena\area3_272_002.wav|落書きじゃなくて、アートのつもりなんでしょ。ほら、グラフィティアート
ena\area3_272_004.wav|そんなこと私に言われたって知らないっての
ena\area3_272_006.wav|かまってちゃん、ね……
ena\area3_272_008.wav|……べつにー
ena\area3_273_002.wav|全然違う。なんとかっていうちょっとおしゃれな通りにあるらしいから
ena\area3_273_006.wav|どうせろくなこと話さないんでしょ。ほら奏、こんなの放っておいて先に行こ！
ena\area3_274_001.wav|はあ、行き詰まっちゃった。何かいい気晴らしになるBGMとかないかな
ena\area3_274_003.wav|そんなことわかってる。はじめから奏に聞くつもりだったの
ena\area3_274_005.wav|え？　奏、あれ見たんだ？
ena\area3_274_009.wav|ええっ！　そ、想像以上の高評価！
ena\area3_275_002.wav|でも目印の看板見当たらないじゃん。やっぱりさっきのところを……
ena\area3_275_006.wav|30分遅れただけでしょ。それに瑞希だって、お店の場所ちゃんと調べてなかったくせに
ena\area3_276_001.wav|えーっと、新しくできたフォトジェニックなお店はっと……
ena\area3_276_004.wav|は？　ちゃーんと考えてますー
ena\area3_276_005.wav|陰影とか、角度とか、写り込むものとか、視線がどこに集まるとか！
ena\area3_276_007.wav|そこ含めて撮る人間の腕の見せ所なんだから、いいの！
ena\area3_277_001.wav|んー、いつも同じファミレスじゃせっかくの打ち上げが味気ないよね
ena\area3_277_002.wav|ねえ、瑞希が来るまでちょっと他のお店調べない？
ena\area3_277_005.wav|ふたりとも！　新曲アップの打ち上げなんだから、もっと興味持って！
ena\area3_278_003.wav|私は無理しないで、気分変えるために外に出るかな
ena\area3_278_010.wav|わ、私も作業戻ろうっと
ena\area3_279_001.wav|あっ、信号変わっちゃいそう
ena\area3_279_008.wav|た、たしかに……
ena\area3_280_001.wav|はぁ……重かった……
ena\area3_280_003.wav|私が今まで描いた絵。歌詞の参考にしたいって言われて、持ってきてあげたの
ena\area3_280_006.wav|昔描いたのも混ざってるから……。人に見せるの、嫌なヤツだってあったんだから
ena\area3_280_007.wav|けど、そういうのガマンして持ってきたの。だから、最高の歌詞を書いてよね
ena\area3_280_010.wav|まあ、ちょっとくらいは楽しみにしててあげなくもないかな
ena\area3_281_002.wav|そういえば、これ系の服をいろいろ扱う店が、最近どこかにオープンしたって聞いたよ
ena\area3_281_004.wav|え？　えっと、SNSでエゴサしてた時に見かけただけだから……
ena\area3_282_004.wav|ミクのためだけの特別製。このジャケットも、描きおろしなんだから
ena\area3_283_003.wav|ごめん、歌ってるの邪魔するつもりなかったんだけど……
ena\area3_283_007.wav|あ、私も聴きたい。おしゃべりは、そのあとでもできるしね
ena\area3_284_001.wav|はぁ、最近すぐ集中力が切れちゃうな。なんでだろ……
ena\area3_284_005.wav|作業してるの！
ena\area3_284_006.wav|睡眠不足っていうのも当たってるかもだけど、とにかく、集中できるBGMでも探さないと
ena\area3_285_001.wav|あっちこっちにあるけど、この地面に刺さってる三角みたいなヤツ、結局なんなの？
ena\area3_285_003.wav|ん、そう言われても……
ena\area3_287_002.wav|え……かわいいって。あれ、お菓子のCMだよね
ena\area3_287_007.wav|普通に、CMに出てる女の子のことを言ってるのかと思った
ena\area3_288_002.wav|え……前に一緒に買い物した時もそんなこと言って食べてなかったっけ
ena\area3_288_007.wav|それなら私も、小腹すいてきたし何か食べようかな
ena\area3_290_004.wav|は？　そんなの興味ないし
ena\area3_290_006.wav|はぁ……じゃあ、青になるまでシンキングタイムで
ena\area3_291_004.wav|ああ……奏の髪、長いし結んでないもんね
ena\area3_293_005.wav|それは、瑞希の言ったことが、じゃなくて、調子のいい悪いが、ってこと？
ena\area3_293_007.wav|あ、そう。まあ多少は話通じるようになってきたかもね
ena\area3_294_001.wav|抽象画の展示会、結構良かったね
ena\area3_294_005.wav|じゃあ、また面白そうな展示会見つけたら教えるね
ena\area3_297_004.wav|手間も、素材の量もとんでもなくて、今ものすごく後悔してるとこ
ena\area3_297_006.wav|まさか！　やめたらここまでの苦労が水の泡だし、ぜっっったい、やめない！
ena\area3_300_001.wav|ミクって、相変わらず私達がいない間はひとりなんだね……
ena\area3_300_006.wav|へえ、いいじゃん。面白そう
ena\area3_300_008.wav|休憩時間にやるくらいいでしょ。それに、ミクとの合作も面白そうだし。ね、ミク？
ena\area3_300_010.wav|じゃあ決まり。一緒にきれいに塗って、瑞希をびっくりさせようね、ミク
ena\area4_009_001.wav|あ……ねえ、この服可愛くない？
ena\area4_009_006.wav|ねえ、奏！
ena\area4_009_008.wav|この帽子どうかな？奏に似合うと思うんだけど！
ena\area4_010_001.wav|ねえ、割引券もらったんだけど、みんなで保護猫カフェに行かない？
ena\area4_010_003.wav|そう。飼い主がいない猫を保護して、里親を探してるっていうカフェなの
ena\area4_010_007.wav|あれ？　奏もまふゆも、もしかして猫苦手？
ena\area4_010_010.wav|猫に触ったことないの！？じゃあ、なおさら行ってみようよ！
ena\area4_010_011.wav|アニマルセラピー効果で、いいアイディアとかメロディが浮かぶかもしれないよ
ena\area4_010_014.wav|別になんだっていいでしょ
ena\area4_010_015.wav|とにかく！今度の週末駅前に集合ね！
ena\areatalk_add_01_005_001.wav|あ、いたいた。ねえ、彰人
ena\areatalk_add_01_005_003.wav|ちょっと行ってみたいお店があるから、土曜か日曜つきあってよ
ena\areatalk_add_01_005_005.wav|聞こえてるじゃん！……ふん。瑞希ならあんたよりも先に誘ってますー
ena\areatalk_add_01_005_007.wav|～～～～っ！先約があるって言われただけだし！
ena\areatalk_add_01_005_009.wav|あっ！　ちょっと！
ena\areatalk_add_01_005_010.wav|彰人……！　覚えてなさいよ！
ena\areatalk_add_01_006_001.wav|あ……
ena\areatalk_add_01_006_003.wav|ちょっと、姉の顔見てそんなリアクションするのおかしいでしょ
ena\areatalk_add_01_006_006.wav|あそこ行くんでしょ、行きつけのライブ&カフェバー。私も——
ena\areatalk_add_01_006_008.wav|そう言われると余計に行きたくなるんだよね～。たしか、ビビッドストリートっていうところにあるんだっけ？
ena\areatalk_add_01_006_010.wav|もう……。本当、口固いんだから
ena\areatalk_aprilfool2022_001_007.wav|じゃあ、最後は私だね。私は東雲絵名。神高の２年で、夜間クラスに通ってるよ
ena\areatalk_aprilfool2022_001_008.wav|愛莉とは中学時代からの友達で、バンドやらないかって誘われたから、来ちゃった。担当のドラムはまだ練習中だけど……ま、よろしくね
ena\areatalk_aprilfool2022_001_010.wav|あ、せっかくバンドやるんだし、下の名前で呼んでよ。私もそうさせてもらうから
ena\areatalk_aprilfool2022_001_012.wav|お嬢様学校の後輩ができるなんて、なんかヘンな気分……
ena\areatalk_aprilfool2022_002_003.wav|あのふたり、いつも元気だね
ena\areatalk_aprilfool2022_002_005.wav|おばあちゃんって……。後輩がいるってこんな感じなんだなって思っただけ。夜間だとあんまり交流ないし
ena\areatalk_aprilfool2022_002_008.wav|え……
ena\areatalk_aprilfool2022_002_009.wav|フェニーくんだっけ、あのマスコット……。くちばしっぽいところから人の顔が見えてるってなんかシュールじゃない？
ena\areatalk_aprilfool2022_002_011.wav|そういうわけじゃ……
ena\areatalk_aprilfool2022_002_015.wav|ほんとだ……。ふふ、しょうがないなあ
ena\areatalk_aprilfool2022_002_016.wav|あ、撮るならまず、いい感じの構図を見つけないと。愛莉、先に一歌ちゃん達のところに行ってて！
ena\areatalk_aprilfool2022_002_018.wav|うん、任せて！
ena\areatalk_aprilfool2022_003_002.wav|ほんと……。愛莉ってば、めちゃくちゃスパルタなんだから……
ena\areatalk_aprilfool2022_003_005.wav|うん、いいと思う。みんな、したいことある？
ena\areatalk_aprilfool2022_003_009.wav|んー。私は特にこれっていうのはないけど……
ena\areatalk_aprilfool2022_003_010.wav|最近、弟がなんかおもしろいことやり始めたみたいだから、それを冷やかしに行くっていうのもいいかも
ena\areatalk_aprilfool2022_003_015.wav|いいのいいの。こういうのはやったもん勝ちなんだから
ena\areatalk_ev_night_02_008_001.wav|はぁ……
ena\areatalk_ev_night_02_008_003.wav|久しぶりにエゴサしちゃったら、ちょっとね……。って、エゴサなんて言ってもわかんないか
ena\areatalk_ev_night_02_008_006.wav|リン……？　もしかして、慰めてくれてる？
ena\areatalk_ev_night_02_008_008.wav|……じゃあ私も、聴きたいから勝手に聴いてることにするね
ena\areatalk_ev_night_03_003_002.wav|あ……。やっぱり。これ描いたイラストレーター、去年、有名な賞獲った人じゃん
ena\areatalk_ev_night_03_003_004.wav|……ねえ。それってさ、色が鮮やかだから？それとも構図が斬新だから？
ena\areatalk_ev_night_03_003_006.wav|どうして気になったの？ちょっと参考にしたいから、もっと詳しく教えてよ
ena\areatalk_ev_night_03_005_002.wav|あ、奏……って、今日もそのジャージなんだ？
ena\areatalk_ev_night_03_005_004.wav|ふふ。そういえば奏って、同じデザインのジャージをいくつも持ってるんだっけ
ena\areatalk_ev_night_03_005_006.wav|えっと。間違ってはないけど……
ena\areatalk_ev_night_03_005_007.wav|奏なら……ほら、あのお店にあるみたいなシックな服とか、あっちのお店のカジュアルな服だって、きっと似合うのに
ena\areatalk_ev_night_03_005_010.wav|そっか。もったいない気もするけど、着たい服を着るのが一番だよね
ena\areatalk_ev_night_03_006_004.wav|あー、あったね、そんなこと……あっ！
ena\areatalk_ev_night_03_006_005.wav|CD探したお礼だって、あんたが教えてくれたアーティスト、結構気に入っててさ。今もたまに聴いてる
ena\areatalk_ev_night_03_006_008.wav|それはそうでしょ。だって瑞希ってば、CDにつく特典、どれにしようかってレジで延々と悩んでたし
ena\areatalk_ev_night_04_001_001.wav|奏！　珍しいね、買い物に来てたの？
ena\areatalk_ev_night_04_001_003.wav|そっか。あ、じゃあ福引券、奏ももらったんじゃない？
ena\areatalk_ev_night_04_001_005.wav|私もさっき買い物してもらったんだ。一緒に引きに行かない？特賞は、有名スイーツ店のケーキ食べ放題らしいよ
ena\areatalk_ev_night_04_001_007.wav|せっかくだし、引きに行こうよ！そういう無欲な人のほうが当たるっていうし！　ね！
ena\voice_card_ev_shuffle_21_01_2a_02_19.wav|うん。ホームページの地図見てるけど、こっちであってるよ
ena\voice_card_ev_shuffle_21_01_2a_05_19.wav|たしか、ジムとは違う感じなんだよね
ena\voice_card_ev_shuffle_21_01_2a_13_19.wav|ていうか、アイドルと一緒に遊ぶなんて、瑞希が知ったらうらやましがるかもね
ena\voice_card_ev_shuffle_21_01_2a_15_19.wav|愛莉や雫と遊ぶ時なんて、もうミーハー爆発って感じではしゃいでたし
ena\voice_card_ev_shuffle_21_01_2a_18_19.wav|愛莉はそうだよ。雫は愛莉の紹介
ena\voice_card_ev_shuffle_21_01_2a_19_19.wav|あ、ごめん。一歌ちゃんは誰かわかんないよね
ena\voice_card_ev_shuffle_21_01_2a_21_19.wav|それもそっか。あのふたり、アイドルだもんね。学校でも有名なの？
ena\voice_card_bd_202208_01_4b_67_19.wav|一歌ちゃん、誕生日おめでとう。ストリートライブ、動画で見たんだけどすごく良かったよ
ena\voice_card_bd_202208_01_4b_68_19.wav|今度は生で見たいから、よかったら誘ってね。あ、それと運動もね。特に奏は誰かと一緒じゃないとなかなかやらないし
ena\voice_card_ev_shuffle_21_05_4a_02_19.wav|わっ！
ena\voice_card_ev_shuffle_21_05_4a_06_19.wav|ほんとだ！　だったら、さっき私達がやってた時にそうしてくれればよかったのに
ena\voice_card_ev_shuffle_21_05_4a_10_19.wav|いいんじゃない？私もさっきだいぶ悔しい思いしたし
ena\voice_card_ev_shuffle_21_05_4a_21_19.wav|いよっし！　これなら……
ena\voice_card_ev_shuffle_21_05_4a_22_19.wav|はあ？　なんで今のでつかめないわけ！？絶対アームの設定おかしいでしょ！
ena\voice_card_ev_shuffle_21_05_4a_24_19.wav|苦戦っていうか、絶対このアームが悪さしてる！こうなったら……！
ena\voice_card_ev_shuffle_21_05_4a_26_19.wav|弟の友達にクレーンゲームが得意な子がいるの。だから弟経由でどうしたら取れるか聞いてもらう！
ena\voice_card_ev_shuffle_21_05_4a_27_19.wav|みのりちゃんが狙ってるヤツも写真送っておくね！
ena\voice_card_ev_shuffle_21_05_4a_29_19.wav|よし。ひとまずもう１回！
ena\voice_card_ev_shuffle_21_05_4a_35_19.wav|あ……弟から返事きた！みのりちゃんの台のほうもきてるよ！
ena\voice_card_ev_shuffle_21_05_4a_37_19.wav|えーっと、みのりちゃんのほうは……。頭の帽子をアームでつまんで引っ張り上げて、少しずつ取り出し口のほうによせる、だって
ena\voice_card_ev_shuffle_21_05_4a_41_19.wav|うん。私もなんかできそうな気がしてきたから、やってみる
ena\voice_card_ev_shuffle_21_05_4a_42_19.wav|一歌ちゃん、悪いんだけど横からアームの位置とか見ててくれない？
ena\voice_card_ev_shuffle_07_07_4a_02_19.wav|こっちこそ。ピクニックのことは、瑞希に聞いてからまた連絡するね
ena\voice_card_ev_shuffle_07_07_4a_05_19.wav|うん、またね！
ena\voice_card_ev_shuffle_07_07_4b_07_19.wav|なによ。瑞希だって、気が向いた時しか行ってないくせに
